timestamp,product_type,status,title,price,rating,description,details,image,url
2025-09-09 14:10:10,Product 1,Accepted,Sony PlayStation5 Gaming Console (Slim),"54,989.",4.5 out of 5 stars,"About this itemSlim Design: With PS5, players get powerful gaming technology packed inside a sleek and compact console design. 1TB of Storage: Keep your favorite games ready and waiting for you to jump in and play with 1TB of SSD storage built in. Ultra-High Speed SSD: Maximize your play sessions with near instant load times for installed PS5 games.Integrated I/O: The custom integration of the PS5 console's systems lets creators pull data from the SSD so quickly that they can design games in way...","Language
                                            ‏
                                            
                                            ‎: English; Product Dimensions
                                            ‏
                                            
                                            ‎: 16.9 x 43.1 x 35.9 cm; 4.9 kg; Release date
                                            ‏
                                            
                                            ‎: 5 April 2024; ASIN
                                            ‏
                                            
                                            ‎: B0CY5HVDS2; Item model number
                                            ‏
                                            
                                            ‎: CFI-2008A01X; Country of Origin
                                            ‏
                                            
                                            ‎: China; Manufacturer
                                            ‏
                                            
                                            ‎: Made in China by Sony Interactive Entertainment Europe 1-7-1 Konan Minato-ku Tokyo, 108-0075 Japan, Sony India Pvt. Ltd., Sony; Packer
                                            ‏
                                            
                                            ‎: Made in China by Sony Interactive Entertainment Europe 1-7-1 Konan Minato-ku Tokyo, 108-0075 Japan, Sony India Pvt. Ltd.; Importer
                                            ‏
                                            
                                            ‎: A-18, Mohan Co-operative Industrial Estate, Mathura Road, New Delhi-110044; Item Weight
                                            ‏
                                            
                                            ‎: 4 kg 900 g; Item Dimensions LxWxH
                                            ‏
                                            
                                            ‎: 16.9 x 43.1 x 35.9 Centimeters; Net Quantity
                                            ‏
                                            
                                            ‎: 1 Count; Generic Name
                                            ‏
                                            
                                            ‎: PLAYSTATION 5 CONSOLE D CHASSIS; Best Sellers Rank: #1 inPlayStation 5 Consoles; Customer Reviews: 4.54.5 out of 5 stars",https://m.media-amazon.com/images/I/41b-EDZt7dL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Sony-CFI-2008A01X-PlayStation%C2%AE5-Console-slim/dp/B0CY5HVDS2/ref=sr_1_5?crid=1524E5ZKR946Z&dib=eyJ2IjoiMSJ9.dS8OSSa4lCrxKMCH_Iu_RNuh3IaPM2_KcTlSgQkByj4gwJ4A7w17EqcicQcWFNZnmRHUbdc8cvY9JRuwD1nTme7jol-ThTI7sKV5fbcYzUkhKVdjTIBKyED9Z6AZMqduCUFn94Ek8O24Bk5LM3rWfJWJlwiD-4ieVs9doKDxblpgXyFKQ_qxR3dbbdB6TcVfOqTUV_U2SODDBwnJtPsVS3YgO_2iyPOpuSlZbcZekEs.C-WcxD30dQY_AXxunfG-0Saui6u5g0YffUD2zBRycXs&dib_tag=se&keywords=ps5+games+playstation&qid=1757407161&sprefix=ps5%2Caps%2C269&sr=8-5
2025-09-09 14:10:10,Product 2,Edited,,,,This is the gaming console.,,,
